CV ANDORRA;4424;1ª DIVISIÓ JUVENIL MASCULINA;D;Grup: D
CV ANDORRA;4420;LLIGA PREFERENT JUVENIL FEMENÍ;C;Grup: C
CV ANDORRA;4416;LLIGA PREFERENT CADET FEMENINA;C;Grup: C
CV ARENYS;4343;1ª DIVISIÓ SÈNIOR MASCULINA;A;Grup: A
CV ARENYS;4355;2ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV ARENYS;4368;2ª DIVISIÓ JUVENIL FEMENINA;C;Grup: C
CV ARENYS;4369;2ª DIVISIÓ CADET FEMENINA;C;Grup: C
CV ARENYS;4426;1ª DIVISIÓ CADET MASCULINA;B;Grup: B
CV ARENYS;4429;1ª DIVISIÓ INFANTIL MASCULINA;B;Grup: B
CV ARENYS 'B';4392;3ª DIVISIÓ JUVENIL FEMENINA;F;Grup: F
CV ARENYS BLANC;4417;LLIGA PREFERENT CADET FEMENINA;D;Grup: D
CV ARENYS VERD;4409;2ª DIVISIÓ INFANTIL FEMENINA;H;Grup: H
CV AVAP GIRONA;4354;2ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
CV AVAP GIRONA 'A';4363;2ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV AVAP GIRONA 'A';4367;2ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV AVAP GIRONA 'A';4407;2ª DIVISIÓ INFANTIL FEMENINA;F;Grup: F
CV AVAP GIRONA 'B';4385;3ª DIVISIÓ JUVENIL FEMENINA;C;Grup: C
CV AVAP GIRONA 'B';4387;3ª DIVISIÓ CADET FEMENINA;C;Grup: C
CV AVAP GIRONA 'BLANC';4406;2ª DIVISIÓ INFANTIL FEMENINA;E;Grup: E
CV AVAP GIRONA BLAU;4406;2ª DIVISIÓ INFANTIL FEMENINA;E;Grup: E
CV AVAP GIRONA GROC;4407;2ª DIVISIÓ INFANTIL FEMENINA;F;Grup: F
CV BARBERÀ;4422;1ª DIVISIÓ JUVENIL MASCULINA;B;Grup: B
CV BARBERÀ;4370;2ª DIVISIÓ JUVENIL FEMENINA;D;Grup: D
CV BARBERÀ;4371;2ª DIVISIÓ CADET FEMENINA;D;Grup: D
CV BARBERÀ;4426;1ª DIVISIÓ CADET MASCULINA;B;Grup: B
CV BARBERÀ;4429;1ª DIVISIÓ INFANTIL MASCULINA;B;Grup: B
CV BARBERÀ;4352;1ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CV BARBERÀ 'A';4346;1ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV BARBERÀ B;4408;2ª DIVISIÓ INFANTIL FEMENINA;G;Grup: G
CV BARBERÀ 'B';4372;2ª DIVISIÓ SÈNIOR MASCULINA;A;Grup: A
CV BARBERÀ 'B';4360;3ª DIVISIÓ SÈNIOR FEMENINA;D;Grup: D
CV BARBERÀ 'B';4382;3ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
CV BARBERÀ 'B';4383;3ª DIVISIÓ CADET FEMENINA;A;Grup: A
CV BARBERÀ 'C';4373;2ª DIVISIÓ SÈNIOR MASCULINA;B;Grup: B
CV BARBERÀ 'C';4359;3ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CV BEGUES;4394;3ª DIVISIÓ JUVENIL FEMENINA;G;Grup: G
CV BEGUES;4395;3ª DIVISIÓ CADET FEMENINA;G;Grup: G
CV BEGUES;4413;2ª DIVISIÓ INFANTIL FEMENINA;L;Grup: L
CV CARDEDEU;4396;3ª DIVISIÓ JUVENIL FEMENINA;H;Grup: H
CV CARDEDEU;4397;3ª DIVISIÓ CADET FEMENINA;H;Grup: H
CV CERDANYOLA;4380;4ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
CV CERDANYOLA;4403;2ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CV CERDANYOLA BLANC;4398;3ª DIVISIÓ JUVENIL FEMENINA;I;Grup: I
CV CERDANYOLA BLANC;4399;3ª DIVISIÓ CADET FEMENINA;I;Grup: I
CV CERDANYOLA VERD;4382;3ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
CV CERDANYOLA VERD;4383;3ª DIVISIÓ CADET FEMENINA;A;Grup: A
CV COMETA BELLVEI;4343;1ª DIVISIÓ SÈNIOR MASCULINA;A;Grup: A
CV COMETA BELLVEI;4377;4ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV CUBELLES;4344;1ª DIVISIÓ SÈNIOR MASCULINA;B;Grup: B
CV CUBELLES;4358;3ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV CUBELLES;4377;4ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV CUBELLES;4423;1ª DIVISIÓ JUVENIL MASCULINA;C;Grup: C
CV CUBELLES;4418;LLIGA PREFERENT JUVENIL FEMENÍ;A;Grup: A
CV CUBELLES;4410;2ª DIVISIÓ INFANTIL FEMENINA;I;Grup: I
CV CUNIT;4375;2ª DIVISIÓ SÈNIOR MASCULINA;D;Grup: D
CV CUNIT;4377;4ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV ENCAMP;4424;1ª DIVISIÓ JUVENIL MASCULINA;D;Grup: D
CV ENCAMP;4420;LLIGA PREFERENT JUVENIL FEMENÍ;C;Grup: C
CV ESPLUGUES;4347;1ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
CV ESPLUGUES;4349;1ª DIVISIÓ CADET FEMENINA;A;Grup: A
CV ESPLUGUES;4352;1ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CV ESPLUGUES 'B';4346;1ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV ESPLUGUES 'B';4363;2ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV ESPLUGUES 'B';4367;2ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV ESPLUGUES 'B';4413;2ª DIVISIÓ INFANTIL FEMENINA;L;Grup: L
CV ESPLUGUES 'C';4394;3ª DIVISIÓ JUVENIL FEMENINA;G;Grup: G
CV ESPLUGUES 'C';4395;3ª DIVISIÓ CADET FEMENINA;G;Grup: G
CV ESPLUGUES 'C';4402;2ª DIVISIÓ INFANTIL FEMENINA;A;Grup: A
CV FIGUERES;4385;3ª DIVISIÓ JUVENIL FEMENINA;C;Grup: C
CV FIGUERES;4387;3ª DIVISIÓ CADET FEMENINA;C;Grup: C
CV GAVÀ;4375;2ª DIVISIÓ SÈNIOR MASCULINA;D;Grup: D
CV GAVÀ GROC;4384;3ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV GAVÀ GROC;4386;3ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV GAVÀ NEGRE;4415;LLIGA PREFERENT CADET FEMENINA;B;Grup: B
CV GAVÀ NEGRE;4410;2ª DIVISIÓ INFANTIL FEMENINA;I;Grup: I
CV GAVÀ VERMELL;4370;2ª DIVISIÓ JUVENIL FEMENINA;D;Grup: D
CV GAVÀ VERMELL;4371;2ª DIVISIÓ CADET FEMENINA;D;Grup: D
CV GAVÀ VERMELL;4348;1ª DIVISIÓ INFANTIL FEMENINA;A;Grup: A
CV GIRONELLA;4420;LLIGA PREFERENT JUVENIL FEMENÍ;C;Grup: C
CV JOVES CALDES;4374;2ª DIVISIÓ SÈNIOR MASCULINA;C;Grup: C
CV JOVES CALDES;4354;2ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
CV JOVES CALDES;4385;3ª DIVISIÓ JUVENIL FEMENINA;C;Grup: C
CV JOVES CALDES;4387;3ª DIVISIÓ CADET FEMENINA;C;Grup: C
CV JOVES CALDES;4417;LLIGA PREFERENT CADET FEMENINA;D;Grup: D
CV LLINARS LES FRANQUESES;4378;4ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CV LLORET;4354;2ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
CV LLORET;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV LLORET;4351;1ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV LLORET BLAU;4407;2ª DIVISIÓ INFANTIL FEMENINA;F;Grup: F
CV LLORET VERD;4406;2ª DIVISIÓ INFANTIL FEMENINA;E;Grup: E
CV MARTORELL;4373;2ª DIVISIÓ SÈNIOR MASCULINA;B;Grup: B
CV MARTORELL;4358;3ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV MARTORELL;4424;1ª DIVISIÓ JUVENIL MASCULINA;D;Grup: D
CV MARTORELL A;4388;3ª DIVISIÓ JUVENIL FEMENINA;D;Grup: D
CV MARTORELL A;4389;3ª DIVISIÓ CADET FEMENINA;D;Grup: D
CV MARTORELL A;4402;2ª DIVISIÓ INFANTIL FEMENINA;A;Grup: A
CV MARTORELL B;4384;3ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV MARTORELL B;4386;3ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV MARTORELL B;4412;2ª DIVISIÓ INFANTIL FEMENINA;K;Grup: K
CV MATARÓ;4343;1ª DIVISIÓ SÈNIOR MASCULINA;A;Grup: A
CV MATARÓ;4356;2ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CV MATARÓ;4363;2ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV MATARÓ;4367;2ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV MATARÓ;4425;1ª DIVISIÓ CADET MASCULINA;A;Grup: A
CV MATARÓ;4409;2ª DIVISIÓ INFANTIL FEMENINA;H;Grup: H
CV MATARÓ 'B';4378;4ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CV MATARÓ 'B';4392;3ª DIVISIÓ JUVENIL FEMENINA;F;Grup: F
CV MATARÓ 'B';4393;3ª DIVISIÓ CADET FEMENINA;F;Grup: F
CV MONJOS;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV MONJOS;4351;1ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV MONJOS PANSALUD;4346;1ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CV MONJOS PANSALUD;4423;1ª DIVISIÓ JUVENIL MASCULINA;C;Grup: C
CV OLOT;4350;1ª DIVISIÓ JUVENIL FEMENINA;B;Grup: B
CV OLOT;4351;1ª DIVISIÓ CADET FEMENINA;B;Grup: B
CV OLOT 'B';4374;2ª DIVISIÓ SÈNIOR MASCULINA;C;Grup: C
CV PARC FARNERS;4378;4ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CV PREMIÀ DE DALT MARESME;4379;4ª DIVISIÓ SÈNIOR FEMENINA;D;Grup: D
CV PREMIÀ DE DALT MARESME;4347;1ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
CV PREMIÀ DE DALT MARESME;4349;1ª DIVISIÓ CADET FEMENINA;A;Grup: A
CV PREMIÀ DE DALT MARESME;4352;1ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CV PREMIÀ DE DALT MARESME - CV TIANA;4371;2ª DIVISIÓ CADET FEMENINA;D;Grup: D
